latitude,longitude
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415398,-71.126442
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415367,-71.126427
42.415325,-71.126450
42.415325,-71.126450
42.415325,-71.126450
42.415321,-71.126457
42.415321,-71.126457
42.415321,-71.126457
42.415321,-71.126457
42.415321,-71.126457
42.415325,-71.126450
42.415325,-71.126450
42.415325,-71.126450
42.415325,-71.126450
42.415325,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415329,-71.126450
42.415318,-71.126450
42.415318,-71.126450
42.415318,-71.126450
42.415318,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415295,-71.126450
42.415226,-71.126419
42.415226,-71.126419
42.415226,-71.126419
42.415226,-71.126419
42.415249,-71.126442
42.415249,-71.126442
42.415249,-71.126442
42.415249,-71.126442
42.415260,-71.126450
42.415260,-71.126450
42.415260,-71.126450
42.415260,-71.126450
42.415260,-71.126450
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415298,-71.126465
42.415413,-71.126526
42.415413,-71.126526
42.415413,-71.126526
42.415413,-71.126526
42.415413,-71.126526
42.415440,-71.126556
42.415440,-71.126556
42.415440,-71.126556
42.415440,-71.126556
42.415440,-71.126556
42.415455,-71.126564
42.415455,-71.126564
42.415455,-71.126564
42.415455,-71.126564
42.415478,-71.126572
42.415478,-71.126572
42.415478,-71.126572
42.415478,-71.126572
42.415508,-71.126587
42.415508,-71.126587
42.415508,-71.126587
42.415508,-71.126587
42.415508,-71.126587
42.415543,-71.126602
42.415543,-71.126602
42.415543,-71.126602
42.415588,-71.126602
42.415588,-71.126602
42.415604,-71.126610
42.415604,-71.126610
42.415604,-71.126610
42.415604,-71.126610
42.415642,-71.126617
42.415642,-71.126617
42.415642,-71.126617
42.415642,-71.126617
42.415661,-71.126633
42.415661,-71.126633
42.415661,-71.126633
42.415661,-71.126633
42.415661,-71.126633
42.415661,-71.126633
42.415661,-71.126633
42.415661,-71.126633
42.415623,-71.126610
42.415623,-71.126610
42.415623,-71.126610
42.415607,-71.126595
42.415607,-71.126595
42.415592,-71.126587
42.415592,-71.126587
42.415592,-71.126587
42.415577,-71.126587
42.415577,-71.126587
42.415558,-71.126579
42.415558,-71.126579
42.415558,-71.126579
42.415527,-71.126556
42.415527,-71.126556
42.415527,-71.126556
42.415504,-71.126556
42.415504,-71.126556
42.415493,-71.126549
42.415493,-71.126549
42.415493,-71.126549
42.415493,-71.126549
42.415493,-71.126549
42.415478,-71.126526
42.415478,-71.126526
42.415478,-71.126526
42.415478,-71.126526
42.415478,-71.126526
42.415478,-71.126526
42.415478,-71.126526
42.415459,-71.126488
42.415459,-71.126488
